"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "comment", "blank", "total"
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\ProfilePage\ProfileFriends\FriendCard.tsx", "TypeScript JSX", 0, 37, 0, 0, 6, 43
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\ProfilePage\ProfileFriends\index.tsx", "TypeScript JSX", 0, 41, 0, 2, 6, 49
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\ProfilePage\ProfileGroups.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\ProfilePage\ProfilePosts.tsx", "TypeScript JSX", 0, 5, 0, 0, 3, 8
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\ProfilePage\ProfileRequests.tsx", "TypeScript JSX", 0, 4, 0, 0, 2, 6
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\index.tsx", "TypeScript JSX", 0, 5, 0, 0, 2, 7
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\layout\BaseLayout.tsx", "TypeScript JSX", 0, 15, 0, 0, 4, 19
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\pages\layout\ProfileLayout.tsx", "TypeScript JSX", 0, 38, 0, 0, 5, 43
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\redux\slices\authSlice.ts", "TypeScript", 102, 0, 0, 0, 17, 119
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\redux\slices\errorModalSlice.ts", "TypeScript", 28, 0, 0, 1, 6, 35
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\redux\slices\newsfeedSlice.ts", "TypeScript", 22, 0, 0, 0, 6, 28
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\redux\slices\toastSlice.ts", "TypeScript", 26, 0, 0, 0, 8, 34
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\redux\store.ts", "TypeScript", 15, 0, 0, 0, 3, 18
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\types\api.types.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\types\image.types.ts", "TypeScript", 5, 0, 0, 0, 1, 6
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\types\post.types.ts", "TypeScript", 34, 0, 0, 58, 6, 98
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\types\user.types.ts", "TypeScript", 41, 0, 0, 83, 7, 131
"c:\Serious Project\Full Stack Development\social-media\group-frontend-project\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"Total", "-", 502, 2556, 13, 212, 391, 3674
